date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:52:07	114918/114918	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM04/Chap4.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM04/Chap4.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:07	340084/340084	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM05/Chap5.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM05/Chap5.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:08	116126/116126	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM07/appendixA.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM07/appendixA.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:08	120321/120321	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:08	112679/112679	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6acnt.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6acnt.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:09	106235/106235	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6ankr.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6ankr.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:10	110637/110637	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6avar.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6avar.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:10	106228/106228	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6bhed.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6bhed.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:10	117029/117029	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6bdat.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6bdat.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
21:52:11	134282/134282	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jan%202026%2023:10:21%20GMT	https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6bsln.html	D:/Almog/Programming/C/My_Libraries/C/Text_Rendering/Apple-TrueType-Reference-Manual/Apple-TrueType-Reference-Manual/developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6bsln.html	(from https://developer.apple.com/fonts/TrueType-Reference-Manual/)
